CODICE ESERCIZIO,tipo,provincia,comune,categoria,tipologia,denominazione,localita,frazione,indirizzo,cap,telefono,cellulare,fax,email,sito,n_camere,n_posti_letto,n_bagni,periodo_apertura,varie_centro_abitato,varie_zona_aereoporto,varie_zona_stazione_ff_ss,varie_in_campagna,varie_sul_mare,varie_sul_lago,varie_sul_fiume,varie_zona_imp_risalita,varie_interesse_storico,varie_villa,varie_castello,accessibile,ascensore,ristorante,ristorante_convenzionato,ristorante_vegetariano,tavola_calda,bar,giochi_bambini,sala_lettura,sala_tv,sala_tv_comune,parco_giardino,animali_domestici,servizio_congressi,servizio_congressi_min,servizio_congressi_max,accettazione_gruppi,accesso_mezzi_pubblici,accesso_mezzi_privati,parcheggio_non_custodito,garage,trasporto_clienti,pulizia_calzature,lavatura_stiratura,baby_sitting,altri_impianti_servizi,custodia_valori_cassaforte,custodia_val_cassetta_sicur,vasca_idromassaggio,doccia_idromassaggio,doccia_sauna,sauna_privata,palestra,impianti_termali,centro_benessere,spiaggia_riservata,discoteca,postazioni_internet,tv_satellitare,aria_condizionata,lingua_inglese,lingua_francese,lingua_spagnola,lingua_tedesca,altre_lingue,tennis,piscina_coperta,piscina_scoperta,golf,equitazione,vela,windsurf,sub,ricarica_bombole_sub,sci_nautico,sci_montano,ormeggio,altri_impianti_sportivi,american_express,carta_si,diners,eurocard_mastercard,jcb,visa,bancomat_pos,cirrus,maestro,altre_carte_credito
2,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,ZUBERTI,-,-,"PIAZZA CARPACCIO, 29",34073,0431 80196,-,-,info@hotelzuberti.it,http://www.hotelzuberti.it,9,25,9,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,INTERNET ADSL,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,VIDEOPROIEZIONE,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
4,Alberghi,TRIESTE,TRIESTE,3 Stelle ***,Casa principale,ALLA VALLE DI BANNE,-,OPICINA,"LOC. BANNE, 25",34151,040  211089,-,040  211089,info@lavalledibanne.it,http://www.lavalledibanne.it,23,47,23,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,0,47,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,"croato,  SERBO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
5,Alberghi,TRIESTE,TRIESTE,1 Stella *,Casa principale,AL RISTORO,-,-,"VIA MALASPINA, 2",34147,040  820158,-,040  8331988,alristoro@yahoo.it,,9,19,9,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non censito,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,NO,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,"SLOVENO, CROATO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
8,Alberghi,UDINE,UDINE,3 Stelle ***,Casa principale,ALLEGRIA,-,-,"VICOLO CHIUSO, 1",33100,0432 201116,-,0432 201116,info@hotelallegria.it,http://www.hotelallegria.it,12,22,15,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,SI,1,35,SI,SI,SI,NO,SI,NO,SI,SI,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N. 2 CAMPI  DA  BOCCE,SI,SI,NO,SI,NO,SI,SI,NO,SI,-
9,Alberghi,UDINE,LATISANA,3 Stelle ***,Casa principale,CENTRALE,-,PERTEGADA,"P.ZZA SANTO SPIRITO, 10",33053,0431 55000,338 9770901,0431 558877,info@hotelsandron.it,http://www.hotelsandron.it,11,25,11,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,NO,SI,15,50,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,SI,NO,SI,SI,NO,NO,-
10,Alberghi,PORDENONE,SESTO AL REGHENA,3 Stelle ***,Casa principale,LA STAZIONE,-,-,"VIA STAZIONE, 3",33079,0434 684484,3371542720,-,lastazione.cordovado@gmail.com,,8,15,8,01.I - 31.XII,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,0,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
11,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,BELLAVISTA,-,-,"VIALE ITALIA, 48",34073,0431 81090,-,0431 82548,hotelbellavistagrado@tiscali.it,http://www.emmeti.it/bellavista,21,56,21,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,SI,NO,SI,NO,SI,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
14,Alberghi,PORDENONE,AVIANO,4 Stelle ****,Casa principale,GOLF & WINE HOTEL VILLA POLICRETI,CASTEL D'AVIANO,-,"VIA IV NOVEMBRE, 13",33081,0434 677169,-,0434 677208,info@villapolicreti.net,,38,81,38,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,Non accessibile,SI,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,SI,SI,8,150,SI,NO,SI,SI,NO,NO,NO,SI,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,-,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
15,Alberghi,UDINE,LIGNANO SABBIADORO,1 Stella *,Dipendenza,FRA I PINI (DIPENDENZA),PINETA,-,"VIA GIARDINI, 21",33054,0431 423015 - 422289,-,0431 428973,info@fraipini.it,http://www.fraipini.it,10,20,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,0,0,SI,SI,SI,SI,NO,NO,SI,SI,NO,-,SI,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,"CONVENZIONATO CON GOLF CLUB DI LIGNANO, CAORLE, JESOLO E UDINE",NO,NO,NO,NO,NO,NO,NO,NO,NO,-
17,Alberghi,PORDENONE,FRISANCO,1 Stella *,Casa principale,FORNASATIS VALCOLVERA,BORGO FORNASATTE,-,"BORGO FORNASATTE, 1",33080,0427 78384,3480601235,0427 78384,info@valcolvera.it,http://www.valcolvera.it,10,15,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,SI,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,NO,SI,SI,NO,NO,-
